accuracy_mean,is_outside,sample_count,dist_Amphi_1,dist_Amphi_2,dist_Amphi_3,dist_Amphi_4,dist_Amphi_5,dist_Amphi_6,dist_Amphi_7,dist_Amphi_8,dist_nearest,dist_2nd,dist_gap,nearest_amphi_enc,log_accuracy,accuracy_bin,high_accuracy_flag,has_seat,seat_block_enc,seat_row_filled,seat_column_filled,seat_zone_id,hour_sin,hour_cos,label_enc,accuracy_mean_scaled,sample_count_scaled,dist_Amphi_1_scaled,dist_Amphi_2_scaled,dist_Amphi_3_scaled,dist_Amphi_4_scaled,dist_Amphi_5_scaled,dist_Amphi_6_scaled,dist_Amphi_7_scaled,dist_Amphi_8_scaled,dist_nearest_scaled,dist_2nd_scaled,dist_gap_scaled,log_accuracy_scaled
7.89900016784668,0,1,0.0005977344939431179,0.0003831473153101075,0.00016388089004522224,3.1959308564288314e-05,0.0005784164151464326,0.00036615494365672236,0.0001864017301890084,6.135710425531169e-05,3.1959308564288314e-05,6.135710425531169e-05,2.9397795691023374e-05,3,2.1859389297360217,0,1,1,0,1.0,3.0,103,-0.8660254037844384,-0.5000000000000004,3,-1.3929380493508712,0.04635395667607239,1.5509167459727173,1.4314552702085392,-0.785125867032999,-1.5598117435276135,1.5372779945276815,1.3704874766699222,-0.48901557393850575,-1.4248752140091991,0.08660563689822444,0.3952368237763156,0.8430332263062141,-1.7868297986158905
20.0,0,1,0.00021103864097149765,8.666891358779818e-06,0.00026621602357669577,0.0003771104546829686,0.00019225882894119423,2.274925813075365e-05,0.00021426527987641422,0.00038272992476652253,8.666891358779818e-06,2.274925813075365e-05,1.4082366771973834e-05,1,3.044522437723423,0,1,1,1,1.0,6.0,106,0.9659258262890683,-0.25881904510252063,1,0.15164372288500325,0.04635395667607239,-0.3566056862717031,-1.0550149058300156,-0.008460378641256292,0.23810616902355045,-0.3701195647997996,-0.9994997911933786,-0.23803524150581928,0.2443132547015759,-0.6427225231969489,-0.7715380529558913,-0.409015643645882,0.33772664656601764
34.31999969482422,0,1,0.00023330094918426778,2.0697611710971954e-05,0.0002460960702446857,0.0003551329589519677,0.00021419148590921661,1.0924392400827742e-05,0.00019327203652095166,0.00036111949363233176,1.0924392400827742e-05,2.0697611710971954e-05,9.773219310144212e-06,5,3.5644493670954485,1,0,1,2,4.0,3.0,403,0.7071067811865476,-0.7071067811865475,1,1.9794604995019565,0.04635395667607239,-0.24678849536297404,-0.9751334876337099,-0.16115938671182004,0.12362376416374919,-0.2617847868106439,-1.0811081698700273,-0.42713143546906696,0.1320701521402589,-0.5720360389697827,-0.8335412398422011,-0.7612919813545843,1.6242807191107984
11.70699977874756,0,1,0.00020393941622819114,1.2691825982412574e-05,0.0002724511930597694,0.00038404226339444213,0.00018539114570888048,2.8986521875901394e-05,0.00022082568753812508,0.00038950161767179484,1.2691825982412574e-05,2.8986521875901394e-05,1.629469589348882e-05,1,2.542153005310542,0,1,1,2,4.0,5.0,405,0.7071067811865476,-0.7071067811865475,1,-0.9068817838139955,0.04635395667607239,-0.39162527685002674,-1.028290198042704,0.03886101318833754,0.2742144745844167,-0.4040419910410578,-0.9564538071419941,-0.17894250873120232,0.2794849649076566,-0.5166944627488812,-0.5830405487461993,-0.2281559242612256,-0.9053815724551479
9.67099952697754,0,1,0.0002264000319319603,1.2564316277095082e-05,0.00024748796198267165,0.00036071510036090015,0.00020934538535488526,5.940488965285234e-06,0.0001963296840222232,0.0003654956840070914,5.940488965285234e-06,1.2564316277095082e-05,6.623827311809848e-06,5,2.3675297373065796,0,1,1,1,6.0,1.0,601,0.8660254037844387,-0.49999999999999983,5,-1.166758564309085,0.04635395667607239,-0.28082985981175473,-1.0291368353010206,-0.1505957196781631,0.15270155266995408,-0.2857217511479815,-1.1155041865475168,-0.39958974049694473,0.15479978589961738,-0.7280911658664709,-1.079339069295629,-1.0187573591375152,-1.3374851314743486
25.10099983215332,0,1,0.0005838702793186608,0.00036933525740245887,0.00014549053935503033,1.767040868753823e-05,0.0005652548845802882,0.0003522942385593852,0.00016987910307166536,4.835973058341326e-05,1.767040868753823e-05,4.835973058341326e-05,3.068932189587503e-05,3,3.2619736213402626,0,1,1,1,6.0,5.0,605,-0.8660254037844384,-0.5000000000000004,3,0.8027396215881317,0.04635395667607239,1.4825263037210803,1.3397461504240844,-0.9246981742905109,-1.634243682485236,1.4722675630984379,1.2748289130850368,-0.637842787021354,-1.4923826846849935,-0.3608059376475776,0.002440783952031797,0.9486165523655138,0.8758074614986638
30.00900077819824,0,1,0.0005849943476020646,0.000371725575627726,0.00012777091929222034,2.4001867797400738e-05,0.0005687157964171099,0.00035466507868225173,0.0001648215271351058,8.637939635562775e-06,8.637939635562775e-06,2.4001867797400738e-05,1.5363928161837964e-05,7,3.4342775100262286,1,0,1,2,7.0,5.0,705,1.2246467991473532e-16,-1.0,7,1.42920098052763,0.04635395667607239,1.4880711924223422,1.3556173538254686,-1.0591800173807515,-1.601262642514148,1.4893624876225744,1.2911910792988173,-0.6833987949278058,-1.6986949524779669,-0.6436290545731977,-0.7336827039503928,-0.3042469493811183,1.3021717392097223
20.0,0,1,0.00020247200310613615,4.077038598203585e-05,0.00026541420639543547,0.0003874877554847708,0.0001916616693951347,4.8641120673023525e-05,0.00021921803493683606,0.0003894348400907877,4.077038598203585e-05,4.8641120673023525e-05,7.870734690987678e-06,1,3.044522437723423,0,1,0,3,-1.0,-1.0,-1,0.9659258262890683,-0.25881904510252063,5,0.15164372288500325,0.04635395667607239,-0.398863842834584,-0.8418545459770923,-0.014545715232847265,0.2921622983608015,-0.3730691913288966,-0.8208091429227751,-0.19342340541645728,0.27913812671515426,0.362496577063172,0.010944726027936443,-0.9168216586562375,0.33772664656601764
27.68400001525879,0,1,0.0006107551813928185,0.0003961675664941706,0.00017487565974849548,3.841985339936609e-05,0.0005914318994424417,0.0003791738472499343,0.00019893902055547873,6.455509238075838e-05,3.841985339936609e-05,6.455509238075838e-05,2.6135238981392285e-05,3,3.3563394765522903,0,1,1,0,4.0,3.0,403,-0.8660254037844384,-0.5000000000000004,3,1.1324359322934507,0.04635395667607239,1.6151461738361963,1.5179069621610977,-0.7016818152526673,-1.526158286442374,1.6015670409339282,1.4603364135336037,-0.3760861970542642,-1.4082650822202747,0.2888971052420651,0.49188381591415625,0.5763165406006375,1.1093148420046939
20.899999618530273,0,1,5.53236912700443e-05,0.000202735367326696,0.00046242509802621733,0.0005732554389653066,2.0979616703109532e-05,0.000219597315850012,0.0004114669317590658,0.0005798166340883722,2.0979616703109532e-05,5.53236912700443e-05,3.434407456693476e-05,4,3.086486619403746,0,1,1,0,6.0,3.0,603,1.2246467991473532e-16,-1.0,4,0.2665204293623832,0.04635395667607239,-1.1247281197262273,0.233558399316094,1.4806549561949636,1.2598399359947965,-1.216140886294233,0.35903156155262345,1.538254452414755,1.2679681549911537,-0.25718858561087954,0.21289993118074493,1.2473955794460507,0.44156660135935244
