accuracy_mean,is_outside,sample_count,timestamp,dist_Amphi_1,dist_Amphi_2,dist_Amphi_3,dist_Amphi_4,dist_Amphi_5,dist_Amphi_6,dist_Amphi_7,dist_Amphi_8,dist_nearest,dist_2nd,dist_gap,nearest_amphi_enc,log_accuracy,accuracy_bin,high_accuracy_flag,has_seat,seat_block_enc,seat_row_filled,seat_column_filled,seat_zone_id,hour_sin,hour_cos,label_enc
-1.3929380493508712,0,0.04635395667607239,2026-04-12 16:09:47.190000+00:00,1.5509167459727173,1.4314552702085392,-0.785125867032999,-1.5598117435276135,1.5372779945276815,1.3704874766699222,-0.48901557393850575,-1.4248752140091991,0.08660563689822444,0.3952368237763156,0.8430332263062141,3,-1.7868297986158905,0,1,1,0,-0.8832739331291566,-0.2572493248141762,103,-1.7990499982604045,0.27085407085804364,3
0.15164372288500325,0,0.04635395667607239,2026-04-08 07:43:31.150000+00:00,-0.3566056862717031,-1.0550149058300156,-0.008460378641256292,0.23810616902355045,-0.3701195647997996,-0.9994997911933786,-0.23803524150581928,0.2443132547015759,-0.6427225231969489,-0.7715380529558913,-0.409015643645882,1,0.33772664656601764,0,1,1,1,-0.8832739331291566,0.9038579502825824,106,0.9939831340992785,0.9698995799656785,1
1.9794604995019565,0,0.04635395667607239,2026-04-08 09:20:39.922000+00:00,-0.24678849536297404,-0.9751334876337099,-0.16115938671182004,0.12362376416374919,-0.2617847868106439,-1.0811081698700273,-0.42713143546906696,0.1320701521402589,-0.5720360389697827,-0.8335412398422011,-0.7612919813545843,5,1.6242807191107984,1,0,1,2,0.17276032068124747,-0.2572493248141762,403,0.5993819261686343,-0.3294299165560311,1
-0.9068817838139955,0,0.04635395667607239,2026-04-08 09:26:44.107000+00:00,-0.39162527685002674,-1.028290198042704,0.03886101318833754,0.2742144745844167,-0.4040419910410578,-0.9564538071419941,-0.17894250873120232,0.2794849649076566,-0.5166944627488812,-0.5830405487461993,-0.2281559242612256,1,-0.9053815724551479,0,1,1,2,0.17276032068124747,0.5168221919169963,405,0.5993819261686343,-0.3294299165560311,1
-1.166758564309085,0,0.04635395667607239,2026-04-12 08:26:09.962000+00:00,-0.28082985981175473,-1.0291368353010206,-0.1505957196781631,0.15270155266995408,-0.2857217511479815,-1.1155041865475168,-0.39958974049694473,0.15479978589961738,-0.7280911658664709,-1.079339069295629,-1.0187573591375152,5,-1.3374851314743486,0,1,1,1,0.8767831565548502,-1.0313208415453485,601,0.84167275300853,0.2708540708580454,5
0.8027396215881317,0,0.04635395667607239,2026-04-12 16:06:53.433000+00:00,1.4825263037210803,1.3397461504240844,-0.9246981742905109,-1.634243682485236,1.4722675630984379,1.2748289130850368,-0.637842787021354,-1.4923826846849935,-0.3608059376475776,0.002440783952031797,0.9486165523655138,3,0.8758074614986638,0,1,1,1,0.8767831565548502,0.5168221919169963,605,-1.7990499982604045,0.27085407085804364,3
1.42920098052763,0,0.04635395667607239,2026-04-20 12:32:49.030000+00:00,1.4880711924223422,1.3556173538254686,-1.0591800173807515,-1.601262642514148,1.4893624876225744,1.2911910792988173,-0.6833987949278058,-1.6986949524779669,-0.6436290545731977,-0.7336827039503928,-0.3042469493811183,7,1.3021717392097223,1,0,1,2,1.2287945744916515,0.5168221919169963,705,-0.47868862262593725,-1.1783596728324182,7
0.15164372288500325,0,0.04635395667607239,2026-04-12 07:28:18.006000+00:00,-0.398863842834584,-0.8418545459770923,-0.014545715232847265,0.2921622983608015,-0.3730691913288966,-0.8208091429227751,-0.19342340541645728,0.27913812671515426,0.362496577063172,0.010944726027936443,-0.9168216586562375,1,0.33772664656601764,0,1,0,3,-1.587296769002759,-1.805392358276521,-1,0.9939831340992785,0.9698995799656785,5
1.1324359322934507,0,0.04635395667607239,2026-04-12 16:11:06.528000+00:00,1.6151461738361963,1.5179069621610977,-0.7016818152526673,-1.526158286442374,1.6015670409339282,1.4603364135336037,-0.3760861970542642,-1.4082650822202747,0.2888971052420651,0.49188381591415625,0.5763165406006375,3,1.1093148420046939,0,1,1,0,0.17276032068124747,-0.2572493248141762,403,-1.7990499982604045,0.27085407085804364,3
0.2665204293623832,0,0.04635395667607239,2026-04-12 12:18:13.486000+00:00,-1.1247281197262273,0.233558399316094,1.4806549561949636,1.2598399359947965,-1.216140886294233,0.35903156155262345,1.538254452414755,1.2679681549911537,-0.25718858561087954,0.21289993118074493,1.2473955794460507,4,0.44156660135935244,0,1,1,0,0.8767831565548502,-0.2572493248141762,603,-0.47868862262593725,-1.1783596728324182,4
