id,year,section,user,amphitheatre,module,seat_block,seat_row,seat_column,latitude_mean,longitude_mean,accuracy_mean,gps_variance,is_outside,sample_count,raw_gps_readings,collection_metadata,navigator_context,screen_context,network_information,battery_status,timestamp,created_at,device_info,target_label,latitude_mean_scaled,longitude_mean_scaled,accuracy_mean_scaled,gps_variance_scaled,sample_count_scaled
7035,2,,,Amphi 4,Computer Architecture,Left,1.0,3.0,36.6882743,2.8661181,7.89900016784668,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:09:47.190000+00:00,2026-04-12 16:09:47.851406+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4,-2.2086397209284665,-1.4751654249330075,-1.3929380493508712,0.0,0.04635395667607239
619,1,,,Amphi 2,Object Oriented Programming,Center,1.0,6.0,36.6883459,2.8664983,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:31.150000+00:00,2026-04-08 07:43:33.205984+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 2,-0.11427211586194384,0.29291442896443687,0.15164372288500325,0.0,0.04635395667607239
1296,1,,,Amphi 2,Object Oriented Programming,Right,4.0,3.0,36.6883401,2.8664768,34.31999969482422,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:20:39.922000+00:00,2026-04-08 09:20:44.007714+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Amphi 2,-0.28392759236612614,0.19293095484918685,1.9794604995019565,0.0,0.04635395667607239
2341,1,,,Amphi 2,Object Oriented Programming,Right,4.0,5.0,36.6883484,2.866505,11.70699977874756,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:26:44.107000+00:00,2026-04-08 09:26:45.759619+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2,-0.0411447553248805,0.32407206973602337,-0.9068817838139955,0.0,0.04635395667607239
3839,3,,,Amphi 6,Machine Learning,Center,6.0,1.0,36.6883548,2.8664807,9.67099952697754,0.0,False,1,[],{},{},{},{},{},2026-04-12 08:26:09.962000+00:00,2026-04-12 08:26:10.723692+00:00,"Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.7727.55 Mobile Safari/537.36",Amphi 6,0.1460612874920429,0.21106749201359673,-1.166758564309085,0.0,0.04635395667607239
6731,2,,,Amphi 4,Computer Architecture,Center,6.0,5.0,36.6882892,2.8661293,25.10099983215332,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:06:53.433000+00:00,2026-04-12 16:06:54.145062+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4,-1.7728006523686641,-1.4230810105104965,0.8027396215881317,0.0,0.04635395667607239
8065,3,,,Amphi 8,Manual Selection,Right,7.0,5.0,36.6883298,2.8661221,30.00900077819824,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:32:49.030000+00:00,2026-04-20 12:32:50.834844+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",Amphi 8,-0.58521231767075,-1.4565638483528016,1.42920098052763,0.0,0.04635395667607239
3465,1,,ayoub,Amphi 6,,,,,36.68839285864519,2.866500912441172,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-12 07:28:18.006000+00:00,2026-04-12 07:28:38.686742+00:00,,Amphi 6,1.2593125944318273,0.30506331009594195,0.15164372288500325,0.0,0.04635395667607239
7162,2,,,Amphi 4,Computer Architecture,Left,4.0,3.0,36.6882719,2.8661053,27.68400001525879,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:11:06.528000+00:00,2026-04-12 16:11:07.093249+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4,-2.2788419872186334,-1.5346904699876007,1.1324359322934507,0.0,0.04635395667607239
5582,3,,,Amphi 5,Computer and Network Security,Left,6.0,3.0,36.688341,2.8666955,20.899999618530273,0.0,False,1,[],{},{},{},{},{},2026-04-12 12:18:13.486000+00:00,2026-04-12 12:18:12.896956+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 5,-0.2576017424813335,1.2099721543427662,0.2665204293623832,0.0,0.04635395667607239
