id,year,section,user,amphitheatre,module,seat_block,seat_row,seat_column,latitude_mean,longitude_mean,accuracy_mean,gps_variance,is_outside,sample_count,raw_gps_readings,collection_metadata,navigator_context,screen_context,network_information,battery_status,timestamp,created_at,device_info,target_label
2106,1,,,Amphi 2,Object Oriented Programming,Center,3.0,9.0,36.6883353,2.8664523,24.371000289916992,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:24:55.561000+00:00,2026-04-08 09:24:57.147154+00:00,"Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.177 Mobile Safari/537.36",Amphi 2
6788,2,,,Amphi 4,Computer Architecture,Center,8.0,5.0,36.6882902,2.8661126,10.906000137329102,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:07:52.914000+00:00,2026-04-12 16:07:53.851486+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4
379,1,,,Amphi 2,Object Oriented Programming,Center,3.0,4.0,36.6884226185736,2.866504893152708,14.073843040648264,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:42:59.072000+00:00,2026-04-08 07:43:00.272110+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 2
1608,1,,,Amphi 2,Object Oriented Programming,Center,3.0,9.0,36.6883309,2.8664784,10.272000312805176,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:21:48.507000+00:00,2026-04-08 09:21:49.211917+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
1586,1,,,Amphi 2,Object Oriented Programming,Center,3.0,9.0,36.6883302,2.8664778,14.345999717712402,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:21:48.507000+00:00,2026-04-08 09:21:49.140438+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
2660,1,,,Amphi 2,Object Oriented Programming,Center,2.0,8.0,36.688417187968696,2.866502606138075,40.0,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:30:29.716000+00:00,2026-04-08 09:30:36.931012+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_15 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.2 Mobile/15E148 Safari/604.1",Amphi 2
7190,2,,,Amphi 4,Computer Architecture,Left,6.0,3.0,36.68840095177473,2.866079719034429,23.99793731910996,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:12:14.262000+00:00,2026-04-12 16:12:14.811389+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4
8260,3,,,Amphi 8,Manual Selection,Left,2.0,4.0,36.6883717421907,2.866203035761524,11.004171829999482,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:34:33.581000+00:00,2026-04-20 12:34:34.108709+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",Amphi 8
1449,1,,,Amphi 2,Object Oriented Programming,Center,6.0,1.0,36.6883559,2.8664914,24.007999420166016,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:21:09.951000+00:00,2026-04-08 09:21:11.859939+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 2
402,1,,,Amphi 2,Object Oriented Programming,Right,1.0,1.0,36.6883447,2.8665017,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:00.367000+00:00,2026-04-08 07:43:01.575132+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
2948,1,,nasro,Outside,,,,,36.6883657,2.866779,5.495999813079834,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:18:35.031000+00:00,2026-04-08 20:48:31.838121+00:00,,Outside
2914,1,,nasro,Outside,,,,,36.6883365,2.866356,5.455999851226807,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:15:44.995000+00:00,2026-04-08 20:48:31.836791+00:00,,Outside
6459,2,,,Amphi 4,Computer Architecture,Right,1.0,3.0,36.68839500897103,2.866083238743847,23.581191382776677,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:03:27.043000+00:00,2026-04-12 16:03:27.917755+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4
6005,3,,,Amphi 3,Manual Selection,Center,10.0,7.0,36.68839525065722,2.866338550955009,17.302041340654828,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:10:41.224000+00:00,2026-04-12 15:10:41.976447+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
7113,2,,,Amphi 4,Computer Architecture,Left,9.0,3.0,36.68840655979853,2.8661696246370028,17.102202835911683,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:10:29.315000+00:00,2026-04-12 16:10:29.848576+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4
6352,3,,,Amphi 1,Manual Selection,Center,8.0,4.0,36.68837662397625,2.8665849319847534,21.2418511618382,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:48:24.298000+00:00,2026-04-12 15:48:25.004982+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 1
7998,3,,,Amphi 8,Manual Selection,Center,10.0,9.0,36.68838056124115,2.8661992220687025,13.91154037039304,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:32:09.205000+00:00,2026-04-20 12:32:09.819059+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",Amphi 8
4779,1,,,Amphi 2,Linear Algebra,Center,2.0,4.0,36.6883399,2.8664317,13.92099952697754,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:36:09.695000+00:00,2026-04-12 09:36:13.821220+00:00,"Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.164 Mobile Safari/537.36",Amphi 2
2841,1,,nasro,Outside,,,,,36.6883324,2.8660571,7.581999778747559,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:09:35.228000+00:00,2026-04-08 20:48:31.834020+00:00,,Outside
2852,1,,nasro,Outside,,,,,36.6882597,2.866031,6.639999866485596,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:10:34.973000+00:00,2026-04-08 20:48:31.834429+00:00,,Outside
1283,1,,,Amphi 2,Object Oriented Programming,Right,4.0,5.0,36.6883493,2.8664922,14.675999641418455,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:20:39.004000+00:00,2026-04-08 09:20:41.344798+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
822,1,,,Amphi 2,Object Oriented Programming,Center,3.0,6.0,36.6883472,2.866502,11.093000411987305,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:44:28.712000+00:00,2026-04-08 07:44:29.955458+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
6027,3,,,Amphi 3,Manual Selection,Left,5.0,1.0,36.68838790466531,2.8662527621530494,16.885629571120827,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:11:42.125000+00:00,2026-04-12 15:11:44.233766+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
662,1,,,Amphi 2,Object Oriented Programming,Right,4.0,1.0,36.6883528,2.8665118,14.54300022125244,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:56.903000+00:00,2026-04-08 07:43:57.925571+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
8255,3,,,Amphi 8,Manual Selection,Left,2.0,4.0,36.6883652101854,2.866201538968339,11.306506850613186,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:34:33.581000+00:00,2026-04-20 12:34:34.108517+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",Amphi 8
1704,1,,,Amphi 2,Object Oriented Programming,Right,5.0,1.0,36.6883466,2.8664926,10.27299976348877,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:22:13.622000+00:00,2026-04-08 09:22:14.502206+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36",Amphi 2
2151,1,,,Amphi 2,Object Oriented Programming,Center,3.0,3.0,36.6883471,2.8664851,13.387999534606934,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:25:20.025000+00:00,2026-04-08 09:25:21.036590+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
3729,3,,,Amphi 6,Machine Learning,Center,3.0,2.0,36.6883508,2.8664696,34.73500061035156,0.0,False,1,[],{},{},{},{},{},2026-04-12 08:24:01.542000+00:00,2026-04-12 08:24:02.699345+00:00,"Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.178 Mobile Safari/537.36",Amphi 6
3212,1,,nasro,Outside,,,,,36.6882817,2.8663321,6.10699987411499,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:40:34.948000+00:00,2026-04-08 20:48:31.848342+00:00,,Outside
5964,3,,,Amphi 3,Manual Selection,Center,4.0,5.0,36.68839780045738,2.866224150037151,18.768882322886697,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:08:49.147000+00:00,2026-04-12 15:08:50.141637+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
2273,1,,,Amphi 2,Object Oriented Programming,Center,4.0,7.0,36.6883497,2.8665226,12.779000282287598,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:26:59.324000+00:00,2026-04-08 09:26:24.429678+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",Amphi 2
3002,1,,nasro,Outside,,,,,36.6884056,2.8666769,4.826000213623047,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:23:05.029000+00:00,2026-04-08 20:48:31.840219+00:00,,Outside
3068,1,,nasro,Outside,,,,,36.6883381,2.866467,5.714000225067139,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:28:34.990000+00:00,2026-04-08 20:48:31.842778+00:00,,Outside
3476,1,,ayoub,Amphi 6,,,,,36.688392907407945,2.866500733753519,20.00000000000072,0.0,False,1,[],{},{},{},{},{},2026-04-12 07:28:29.004000+00:00,2026-04-12 07:28:38.687045+00:00,,Amphi 6
2912,1,,nasro,Outside,,,,,36.6883303,2.8663608,5.656000137329102,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:15:35.007000+00:00,2026-04-08 20:48:31.836718+00:00,,Outside
3115,1,,nasro,Outside,,,,,36.6883087,2.8661307,7.308000087738037,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:32:29.945000+00:00,2026-04-08 20:48:31.844601+00:00,,Outside
672,1,,,Amphi 2,Object Oriented Programming,Right,4.0,1.0,36.688354,2.8665082,14.800000190734863,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:56.903000+00:00,2026-04-08 07:43:57.925974+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
3440,1,,ayoub,Amphi 6,,,,,36.68832963061907,2.8666060146021466,25.057893180724356,0.0,False,1,[],{},{},{},{},{},2026-04-12 07:27:52.993000+00:00,2026-04-12 07:28:38.685985+00:00,,Amphi 6
4265,3,,,Amphi 5,Computer and Network Security,Center,3.0,2.0,36.6883719,2.8666978,13.446000099182127,0.0,False,1,[],{},{},{},{},{},2026-04-12 08:59:07.687000+00:00,2026-04-12 08:59:09.702760+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",Amphi 5
4453,3,,,Amphi 5,Computer and Network Security,Center,3.0,4.0,36.6883528,2.8667034,14.812999725341797,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:14:32.423000+00:00,2026-04-12 09:16:00.584624+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 5
5951,3,,,Amphi 3,Manual Selection,Center,1.0,1.0,36.68839874962998,2.866224533049075,23.43861297909108,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:08:11.320000+00:00,2026-04-12 15:08:12.385186+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
4405,3,,,Amphi 5,Computer and Network Security,Center,3.0,3.0,36.6883587,2.8666689,15.45300006866455,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:15:04.131000+00:00,2026-04-12 09:15:06.123664+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 5
2987,1,,nasro,Outside,,,,,36.6883177,2.8666393,6.504000186920166,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:21:49.995000+00:00,2026-04-08 20:48:31.839592+00:00,,Outside
605,1,,,Amphi 2,Object Oriented Programming,Center,1.0,6.0,36.6883452,2.8664971,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:31.140000+00:00,2026-04-08 07:43:33.028119+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 2
6711,2,,,Amphi 4,Computer Architecture,Center,6.0,5.0,36.6882809,2.8661133,25.15399932861328,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:06:26.111000+00:00,2026-04-12 16:06:24.552260+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 4
1843,1,,,Amphi 2,Object Oriented Programming,Center,1.0,2.0,36.6883421,2.8664866,13.461999893188477,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:23:21.098000+00:00,2026-04-08 09:23:23.326346+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
4296,1,,ayoub,Amphi 7,,,,,36.68836380522172,2.866275748850988,23.000000000000345,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:02:11.737000+00:00,2026-04-12 09:03:33.782563+00:00,,Amphi 7
339,1,,,Amphi 2,Object Oriented Programming,Right,3.0,5.0,36.688348,2.8665073,17.21500015258789,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:42:43.599000+00:00,2026-04-08 07:42:44.667623+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 2
7402,3,,,Amphi 8,Manual Selection,Center,1.0,6.0,36.688317,2.8660527,15.902999877929688,0.0,False,1,[],{},{},{},{},{},2026-04-20 09:15:47.369000+00:00,2026-04-20 09:15:48.092453+00:00,"Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.177 Mobile Safari/537.36",Amphi 8
3303,1,,nasro,Outside,,,,,36.6883248,2.8662753,6.826000213623047,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:48:09.929000+00:00,2026-04-08 20:48:31.851889+00:00,,Outside
392,1,,,Amphi 2,Object Oriented Programming,Right,1.0,1.0,36.6883447,2.8665017,20.0,0.0,False,1,[],{},{},{},{},{},2026-04-08 07:43:00.363000+00:00,2026-04-08 07:43:01.266265+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 2
2913,1,,nasro,Outside,,,,,36.6883349,2.8663575,5.301000118255615,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:15:39.943000+00:00,2026-04-08 20:48:31.836755+00:00,,Outside
5916,3,,,Amphi 3,Manual Selection,Right,1.0,3.0,36.68839413350541,2.866254560599545,15.456423270171614,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:06:14.319000+00:00,2026-04-12 15:06:16.227509+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
7184,2,,,Amphi 4,Computer Architecture,Left,6.0,3.0,36.68837533164697,2.8660536279883564,22.693720469858683,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:12:14.262000+00:00,2026-04-12 16:12:14.811178+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4
6565,2,,,Amphi 4,Computer Architecture,Right,3.0,3.0,36.68838919358878,2.866194262396608,22.42821771672676,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:04:24.388000+00:00,2026-04-12 16:04:25.105312+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4
8181,3,,,Amphi 8,Manual Selection,Center,4.0,4.0,36.68836848403931,2.8661953596008845,11.67034063282605,0.0,False,1,[],{},{},{},{},{},2026-04-20 12:33:39.916000+00:00,2026-04-20 12:33:40.419181+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/22F76 Safari/604.1",Amphi 8
3422,1,,ayoub,Amphi 6,,,,,36.68835083883335,2.8665653311397064,22.333646372625054,0.0,False,1,[],{},{},{},{},{},2026-04-12 07:27:35.424000+00:00,2026-04-12 07:28:38.685492+00:00,,Amphi 6
5445,3,,,Amphi 5,Computer and Network Security,Center,10.0,5.0,36.6883437,2.8666985,24.63500022888184,0.0,False,1,[],{},{},{},{},{},2026-04-12 12:16:40.423000+00:00,2026-04-12 12:16:39.693675+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Amphi 5
5908,3,,,Amphi 3,Manual Selection,Right,5.0,2.0,36.68843666462004,2.8662779397343323,24.999766365759,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:05:43.350000+00:00,2026-04-12 15:05:44.213105+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
4352,1,,ayoub,Amphi 7,,,,,36.68833749183519,2.86627783215894,31.99999999999999,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:03:07.333000+00:00,2026-04-12 09:03:33.784189+00:00,,Amphi 7
7114,2,,,Amphi 4,Computer Architecture,Left,9.0,3.0,36.6883876898898,2.86615290245016,16.909809027857882,0.0,False,1,[],{},{},{},{},{},2026-04-12 16:10:29.315000+00:00,2026-04-12 16:10:29.848616+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 4
1382,1,,,Amphi 2,Object Oriented Programming,Center,3.0,4.0,36.6883494,2.8664885,34.59299850463867,0.0,False,1,[],{},{},{},{},{},2026-04-08 09:20:54.560000+00:00,2026-04-08 09:20:56.286913+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",Amphi 2
6013,3,,,Amphi 3,Manual Selection,Left,10.0,2.0,36.68838467361463,2.866334029415494,24.999966853165777,0.0,False,1,[],{},{},{},{},{},2026-04-12 15:11:11.564000+00:00,2026-04-12 15:11:12.416454+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Amphi 3
4337,1,,ayoub,Amphi 7,,,,,36.68835708321701,2.866317782556835,26.99784627377664,0.0,False,1,[],{},{},{},{},{},2026-04-12 09:02:52.336000+00:00,2026-04-12 09:03:33.783715+00:00,,Amphi 7
4263,3,,,Amphi 5,Computer and Network Security,Center,3.0,2.0,36.6883939,2.8666974,17.35099983215332,0.0,False,1,[],{},{},{},{},{},2026-04-12 08:59:07.686000+00:00,2026-04-12 08:59:09.628534+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",Amphi 5
2834,1,,nasro,Outside,,,,,36.6883697,2.8660298,6.078000068664551,0.0,True,1,[],{},{},{},{},{},2026-04-08 20:08:53.032000+00:00,2026-04-08 20:48:31.833760+00:00,,Outside
